"count";"username";"datetime";"text"
"304";"kravchenko_alonka";"19:52:46 17-05-2021";"@alisha_fedorets"
"305";"kravchenko_alonka";"19:52:54 17-05-2021";"@cherinska"
"306";"kravchenko_alonka";"19:53:03 17-05-2021";"@tetjanka_tetjanka"
"307";"kravchenko_alonka";"19:53:23 17-05-2021";"@olechkagorbenko"
"308";"kravchenko_alonka";"19:53:31 17-05-2021";"@olgatshaika"
"309";"anyuta_borusova_";"20:02:23 17-05-2021";"@jellybonka"
"310";"anyuta_borusova_";"20:02:25 17-05-2021";"@darina_zapesochnaya"
"311";"anyuta_borusova_";"20:02:30 17-05-2021";"@olena_vakhnovan"
"312";"anyuta_borusova_";"20:02:36 17-05-2021";"@viktoria_obrevko"
"313";"anyuta_borusova_";"20:02:43 17-05-2021";"@wowmarusya_"
"314";"anyuta_borusova_";"20:02:48 17-05-2021";"@ketrin_manko"
"315";"anyuta_borusova_";"20:02:55 17-05-2021";"@shabanova___anna"
"316";"anyuta_borusova_";"20:03:03 17-05-2021";"@mariia.skripka"
"317";"anyuta_borusova_";"20:03:07 17-05-2021";"@berezova_brow_art"
"318";"anyuta_borusova_";"20:03:12 17-05-2021";"@marina.sh.17"
"319";"anyuta_borusova_";"20:03:17 17-05-2021";"@m_chop"
"320";"anyuta_borusova_";"20:03:26 17-05-2021";"@trokhimenkotania"
"321";"anyuta_borusova_";"20:03:54 17-05-2021";"@womans.beauty.room"
"322";"anyuta_borusova_";"20:04:01 17-05-2021";"@iryna_piskunova.97"
"323";"anyuta_borusova_";"20:04:11 17-05-2021";"@e_d_u_a_r_d_o_v_n_a______iren"
"324";"anyuta_borusova_";"20:04:25 17-05-2021";"@g_yaroslavovna"
"325";"anyuta_borusova_";"20:05:28 17-05-2021";"@anastasiya_kiev98"
"326";"anyuta_borusova_";"20:05:48 17-05-2021";"@halyna_kishko"
"327";"anyuta_borusova_";"20:06:34 17-05-2021";"@alexsaplys"
"328";"anyuta_borusova_";"20:06:42 17-05-2021";"@_vitaliya_nyzhnyk_"
