"count";"username";"datetime";"text"
"300";"alenavereschak";"16:45:28 17-07-2021";"@sholuddchenko"
"301";"kseniasg1986";"16:45:29 17-07-2021";"@family_chepurko"
"302";"ol4ik_4k";"16:45:32 17-07-2021";"@nata_khodzinska"
"303";"nadintvoia";"16:45:32 17-07-2021";"@lesyalakomchak"
"304";"kseniasg1986";"16:45:33 17-07-2021";"@rainbow_unicorn9838"
"305";"anchishkina13.04";"16:45:36 17-07-2021";"@l_._._valera_._._l"
"306";"nadintvoia";"16:45:37 17-07-2021";"@lesyamarusyak"
"307";"kseniasg1986";"16:45:38 17-07-2021";"@shtorme"
"308";"danik_op";"16:45:39 17-07-2021";"@baba_azazin"
"309";"iruska_o";"16:45:39 17-07-2021";"@nargiza1187"
"310";"drobot_igor_";"16:45:41 17-07-2021";"@dudka.n"
"311";"pasha2.0.2.0";"16:45:42 17-07-2021";"@alinches00000"
"312";"pasha2.0.2.0";"16:45:43 17-07-2021";"@alinchikkk2.0"
"313";"nadintvoia";"16:45:43 17-07-2021";"@lesia_andrunevchyn_"
"314";"pasha2.0.2.0";"16:45:44 17-07-2021";"@_gaydayalina_"
"315";"sasha_ilchenko11";"16:45:45 17-07-2021";"@yulia_shurbenko"
"316";"aydintatiana";"16:45:45 17-07-2021";"@viner.tatiana"
"317";"anchishkina13.04";"16:45:46 17-07-2021";"@pofigistka._.19"
"318";"pasha2.0.2.0";"16:45:47 17-07-2021";"@oksi4ka_13_"
"319";"kseniasg1986";"16:45:47 17-07-2021";"@queen_ellizz"
"320";"iruska_o";"16:45:48 17-07-2021";"@vitya_kost7"
"321";"svetikgalan33";"16:45:48 17-07-2021";"@valeriiakochetkova97"
"322";"_nastasiakucher";"16:45:48 17-07-2021";"@samyrai_1.3 @"
"323";"nadintvoia";"16:45:49 17-07-2021";"@zhannayanko"
"324";"pasha2.0.2.0";"16:45:50 17-07-2021";"@k.a.l.i.b_"
"325";"drobot_igor_";"16:45:51 17-07-2021";"@aleksander_dudka"
"326";"anchishkina13.04";"16:45:51 17-07-2021";"@shaplichenko"
"327";"kseniasg1986";"16:45:52 17-07-2021";"@sire_le_nix"
"328";"pasha2.0.2.0";"16:45:52 17-07-2021";"@bilyy_____"
"329";"nadintvoia";"16:45:53 17-07-2021";"@yarinayur"
"330";"pasha2.0.2.0";"16:45:54 17-07-2021";"@vladislav.slavniy"
"331";"svetikgalan33";"16:45:55 17-07-2021";"@voloshka_2019_permanent"
"332";"_nastasiakucher";"16:45:55 17-07-2021";"@borukh_01"
"333";"khizanishvili_valeriya";"16:45:56 17-07-2021";"@olesia6791 @dianabaglay"
"334";"pasha2.0.2.0";"16:45:56 17-07-2021";"@_vlad_14888"
"335";"alinkabokii";"16:45:56 17-07-2021";"@alenkasutormina"
"336";"kseniasg1986";"16:45:57 17-07-2021";"@skopenkovera"
"337";"svetikgalan33";"16:45:59 17-07-2021";"@voloshin.vitalik"
"338";"nadintvoia";"16:46:00 17-07-2021";"@chizhvira"
"339";"_nastasiakucher";"16:46:01 17-07-2021";"@mmaryyka"
